PlaytroughId;TotalTime;TotalPoints;CoinsCollected;EnemiesDefeated;PercentageProgress;Deaths;TotalEnemyProxTime;StandingStillTime;Score;IsFinished;LevelTime_1;LevelPoints_1;LevelEnemies_1;LevelCoins_1;LevelDeaths_1;LevelEndHp_1;LevelFinished_1;LevelTime_2;LevelPoints_2;LevelEnemies_2;LevelCoins_2;LevelDeaths_2;LevelEndHp_2;LevelFinished_2;LevelTime_3;LevelPoints_3;LevelEnemies_3;LevelCoins_3;LevelDeaths_3;LevelEndHp_3;LevelFinished_3;UserId;StartTime;EndTime;LastUpdate;DefeatedEnemiesIds;CollectedCoinsIds
47;157,812286376953;2210;34;12;49,4845352172852;1;11,6974830627441;0;7744;1;40,1706085205078;325;0;5;0;6;0;95,9551696777344;1560;3;24;0;5;0;21,6057929992676;325;9;5;1;0;0;18;2024-05-11 16:13:33.397;2024-05-11 16:16:38.677;2024-05-11 16:16:38.867;208,206,210,313,313,311,309,310,306,312,308,307;101,103,110,111,113,202,203,204,205,207,208,209,210,211,220,221,214,215,216,217,219,218,225,226,227,230,232,233,234,304,306,306,308,309
48;180,759033203125;2360;34;14;50,5154609680176;1;10,9118938446045;0;7890;1;43,4727058410645;415;3;5;1;5;0;102,755081176758;1590;4;24;0;5;0;34,4311981201172;355;7;5;1;0;0;18;2024-05-11 16:16:49.093;2024-05-11 16:19:56.840;2024-05-11 16:19:57.033;105,106,107,206,209,208,210,313,311,309,310,312,307,308;101,103,110,111,113,202,203,204,205,207,208,209,210,211,214,215,216,219,217,218,220,221,225,226,227,230,232,233,234,304,306,306,308,309
49;210,991439819336;2175;33;19;52,5773162841797;1;15,6333675384521;0;7701;1;51,4396820068359;325;2;5;1;4;0;110,479598999023;1395;5;21;0;5;0;48,9598503112793;455;12;7;1;0;0;18;2024-05-11 16:20:06.737;2024-05-11 16:23:52.220;2024-05-11 16:23:52.423;105,106,206,209,210,208,207,313,309,308,317,316,310,307,312,315,311,306,314;101,103,110,111,113,202,203,204,205,208,210,220,221,214,215,216,217,219,218,225,226,227,230,232,233,234,304,306,306,308,309,310,311
50;178,910003662109;2205;33;19;52,5773162841797;1;9,78019428253174;0;7735;1;38,6359558105469;385;3;5;0;6;0;96,1815185546875;1560;4;24;0;7;0;43,9818572998047;260;12;4;1;0;0;18;2024-05-11 16:25:00.457;2024-05-11 16:28:14.520;2024-05-11 16:28:14.713;105,106,107,206,209,208,210,313,312,310,311,308,309,307,306,316,315,317,314;101,103,110,111,113,202,203,204,205,207,208,209,210,211,220,221,214,215,216,217,219,218,225,226,227,230,232,233,234,304,306,306,309
51;371,4833984375;520;8;0;17,0103092193604;7;12,1112957000732;0;4029;0;108,910736083984;260;0;4;4;4;0;104,716217041016;260;0;4;0;0;0;0;0;0;0;0;0;0;19;2024-05-11 18:03:08.603;NULL;2024-05-11 18:10:10.723;;101,103,114,113,202,203,204,205
52;76,3367919921875;325;5;0;2,57731962203979;1;4,87279844284058;0;831;1;76,3367919921875;325;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;2024-05-12 04:34:37.647;2024-05-12 04:35:55.563;2024-05-12 04:35:55.497;;101,103,110,111,113
53;733,363220214844;4495;65;22;83,5051574707031;17;49,6664543151855;0;14005;1;89,5402145385742;510;5;6;5;1;0;185,175048828125;1555;4;23;7;2;0;158,226684570313;2430;13;36;5;3;1;21;2024-05-12 14:59:48.203;2024-05-12 15:13:35.793;2024-05-12 15:13:35.860;101,103,106,107,105,209,210,206,212,313,312,310,311,309,308,317,316,307,314,306,315,301;101,103,114,110,111,113,202,203,204,205,207,208,209,211,220,221,214,215,216,217,219,218,225,226,227,230,232,233,234,304,306,306,308,309,318,319,320,321,322,323,324,325,329,326,330,327,328,334,333,349,335,336,337,338,339,340,341,342,343,344,345,348,354,355,356
54;77,3348236083984;325;5;0;2,57731962203979;1;3,83720111846924;0;831;1;77,3348236083984;325;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;2024-05-12 16:46:21.917;2024-05-12 16:47:40.107;2024-05-12 16:47:41.080;;101,103,110,111,113
55;117,063995361328;260;4;1;15,4639167785645;1;4,70179605484009;0;2781;1;73,9454040527344;260;1;4;1;4;0;43,0058670043945;0;0;0;1;0;0;0;0;0;0;0;0;0;22;2024-05-12 16:47:43.360;2024-05-12 16:49:43.423;2024-05-12 16:49:44.350;105;101,103,114,113
56;50,5096549987793;325;5;0;2,57731962203979;1;2,65549850463867;0;2874;1;50,5096549987793;325;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;2024-05-12 16:50:00.133;2024-05-12 16:50:51.213;2024-05-12 16:50:52.163;;101,103,110,111,113
57;256,639495849609;2080;32;11;47,9381446838379;2;24,6020851135254;0;8103;1;55,6306800842285;195;2;3;0;4;0;132,566223144531;1560;3;24;0;3;0;27,4607486724854;325;6;5;0;0;0;23;2024-05-13 17:58:14.173;2024-05-13 18:03:13.357;2024-05-13 18:03:11.600;105,106,206,209,210,313,312,309,308,315,316;101,103,114,202,203,204,205,207,208,209,210,211,220,221,214,215,216,217,219,218,225,226,227,230,232,233,234,301,302,303,314,315
58;2065,59985351563;3660;42;27;61,3402061462402;64;154,71891784668;0;10663;0;133,650238037109;565;4;5;10;1;0;232,964263916016;1590;7;18;32;1;0;229,282592773438;1505;16;19;0;0;0;25;2024-05-13 18:14:42.117;NULL;2024-05-13 19:38:18.770;101,104,102,103,201,212,214,213,215,216,217,313,312,305,304,301,303,309,317,316,315,308,311,307,307,306,310;103,110,111,113,114,202,203,204,205,207,208,209,210,211,220,221,225,226,227,230,232,233,234,301,302,306,306,310,314,318,319,323,320,321,322,324,325,329,326,330,327,328
59;70,0434417724609;325;5;0;2,57731962203979;0;2,39799857139587;0;832;0;70,0434417724609;325;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;2024-05-13 18:16:48.240;NULL;2024-05-13 18:18:05.560;;101,103,110,111,113
60;50,666934967041;260;4;0;2,06185555458069;1;0,381999969482422;0;769;1;50,666934967041;260;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;2024-05-13 18:16:56.020;2024-05-13 18:17:47.707;2024-05-13 18:17:46.663;;103,110,111,113
61;69,479606628418;130;2;0;13,9175252914429;0;3,60399866104126;0;2665;0;49,3665390014648;130;0;2;1;6;0;20,0130653381348;0;0;0;0;0;0;0;0;0;0;0;0;0;26;2024-05-13 18:18:04.303;NULL;2024-05-13 18:23:12.560;;103,114
62;91,3787002563477;325;5;0;2,57731962203979;1;0,720999956130981;0;830;1;91,3787002563477;325;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;2024-05-13 19:09:42.637;2024-05-13 19:11:15.343;2024-05-13 19:11:15.447;;101,103,110,111,113
63;450,923767089844;195;3;0;1,54639172554016;14;13,2795724868774;0;696;0;90,6404495239258;195;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;2024-05-13 19:32:27.403;NULL;2024-05-13 19:40:11.537;;101,103,114
64;215,614334106445;650;10;1;18,5566997528076;0;2,66019892692566;0;3663;0;85,4219818115234;390;1;6;0;3;0;130,049835205078;260;0;4;0;0;0;0;0;0;0;0;0;0;29;2024-05-13 19:42:18.360;NULL;2024-05-13 19:45:57.717;105;101,103,110,111,113,114,202,203,204,205
65;82,7857971191406;320;4;1;2,57731962203979;1;3,19969868659973;0;826;1;82,7857971191406;320;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;2024-05-13 21:21:14.497;2024-05-13 21:22:38.360;2024-05-13 21:22:42.233;101;103,110,111,113
66;93,3360290527344;195;3;0;1,54639172554016;1;15,6168222427368;0;700;1;93,3360290527344;195;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;2024-05-13 21:22:51.173;2024-05-13 21:24:25.337;2024-05-13 21:24:29.040;;101,103,114
67;380,764953613281;2015;31;10;46,9072151184082;7;22,9433860778809;0;8532;0;62,8657913208008;195;1;3;1;5;0;161,027359008789;1560;3;24;1;2;0;33,3820915222168;260;6;4;0;0;0;31;2024-05-13 22:31:25.047;NULL;2024-05-13 22:37:59.450;105,206,209,210,313,312,309,317,316,315;101,103,114,202,203,204,205,207,208,209,210,211,220,221,214,215,216,217,219,218,225,226,227,230,232,233,234,301,302,303,314
68;42,4817924499512;65;1;0;0,515463888645172;1;13,7830076217651;0;65;1;42,4817924499512;65;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;2024-05-13 23:11:54.927;2024-05-13 23:12:38.913;2024-05-13 23:12:39.597;;101
69;9,63699913024902;65;1;0;0,515463888645172;0;0,565999925136566;0;65;0;9,63699913024902;65;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;2024-05-13 23:12:59.710;NULL;2024-05-13 23:12:59.710;;101
70;49,6975631713867;325;5;0;2,57731962203979;1;1,0479998588562;0;835;1;49,6975631713867;325;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;2024-05-13 23:12:48.073;2024-05-13 23:13:38.907;2024-05-13 23:13:39.697;;101,103,110,111,113
71;750,318481445313;2045;31;8;45,8762893676758;34;56,6145668029785;0;8052;0;73,7654266357422;390;1;6;3;1;0;188,523254394531;1495;4;23;5;1;0;106,227668762207;160;3;2;0;0;0;33;2024-05-13 23:14:11.413;NULL;2024-05-13 23:28:32.647;105,209,210,206,208,313,312,311;101,103,110,111,113,114,202,203,204,205,207,208,209,211,220,221,214,215,216,217,219,218,225,226,227,230,232,233,234,304,306
72;90,7431411743164;390;6;0;15,979380607605;1;4,60480070114136;0;2412;1;60,7697601318359;390;0;6;0;4;0;29,7779731750488;0;0;0;1;0;0;0;0;0;0;0;0;0;34;2024-05-13 23:30:02.487;2024-05-13 23:31:38.493;2024-05-13 23:31:39.620;;101,103,110,111,113,114
73;170,807174682617;130;2;0;1,03092777729034;0;16,4642028808594;0;130;0;170,807174682617;130;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;2024-05-13 23:41:43.793;NULL;2024-05-13 23:45:18.867;;101,103
74;53,6496887207031;325;5;0;2,57731962203979;1;3,59999775886536;0;834;1;53,6496887207031;325;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;2024-05-13 23:50:29.070;2024-05-13 23:51:23.523;2024-05-13 23:51:22.973;;101,103,110,111,113
75;120,057746887207;195;3;0;1,54639172554016;0;6,63109254837036;0;699;0;120,057746887207;195;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;2024-05-13 23:51:18.613;NULL;2024-05-13 23:53:20.643;;101,103,114
76;355,604309082031;2535;39;11;64,432991027832;3;22,9405517578125;0;11557;1;44,2052879333496;195;0;3;1;6;0;148,884948730469;1560;3;24;0;4;0;79,1441421508789;780;8;12;2;2;1;37;2024-05-13 23:53:41.053;2024-05-13 23:59:53.880;2024-05-13 23:59:54.117;209,206,210,311,313,310,312,309,317,308,316;101,103,114,202,203,204,205,207,208,209,210,211,220,221,214,215,216,217,219,218,225,226,227,230,232,233,234,304,306,306,314,315,349,334,333,348,354,355,356
77;42,4980430603027;325;5;0;2,57731962203979;1;1,93370163440704;0;836;1;42,4980430603027;325;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;2024-05-13 23:54:01.487;2024-05-13 23:54:45.473;2024-05-13 23:54:46.100;;101,103,110,111,113
78;79,5981597900391;195;3;1;14,9484529495239;1;3,38349866867065;0;3232;1;43,3715171813965;195;1;3;1;2;0;35,8420028686523;0;0;0;1;0;0;0;0;0;0;0;0;0;38;2024-05-13 23:54:51.323;2024-05-13 23:56:15.767;2024-05-13 23:56:16.750;106;101,103,114
79;140,443206787109;255;3;1;14,9484529495239;1;5,48600244522095;0;2772;0;82,3380508422852;255;1;3;1;3;0;30,0439586639404;0;0;0;0;0;0;0;0;0;0;0;0;0;39;2024-05-13 23:55:20.823;NULL;2024-05-13 23:57:46.973;101;103,114,113
80;47,3901786804199;260;4;0;2,06185555458069;1;1,13340032100677;0;3323;1;47,3901786804199;260;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;2024-05-13 23:56:24.113;2024-05-13 23:57:14.500;2024-05-13 23:57:15.483;;101,103,110,111
81;9,72348213195801;65;1;0;0,515463888645172;0;0,161100015044212;0;65;0;9,72348213195801;65;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;2024-05-13 23:56:46.477;NULL;2024-05-13 23:56:46.477;;101
